# Time                      Task   Queued  Running   Hostname Exit   Command
Tue Feb 11 02:25:01 2014: 000226     3709     1693   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:31:04 2014: 000228     4125     1640   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:31:17 2014: 000227     4074     1704   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:31:39 2014: 000229     4179     1621   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:33:09 2014: 000231     4222     1668   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:33:17 2014: 000230     4203     1695   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:34:28 2014: 000234     4292     1677   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:34:29 2014: 000232     4273     1697   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:35:29 2014: 000025        6     6028   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:35:30 2014: 000236     4388     1643   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:35:32 2014: 000058        5     6031   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:36:29 2014: 000235     4340     1750   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:36:30 2014: 000010        6     6089   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:37:48 2014: 000020        6     6167   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:38:12 2014: 000012        6     6191   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:38:58 2014: 000118        5     6236   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:39:20 2014: 000007        5     6260   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:39:56 2014: 000109        5     6294   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:40:40 2014: 000003        6     6339   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:41:02 2014: 000031        6     6361   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:42:45 2014: 000030        6     6464   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:43:20 2014: 000097        5     6498   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:43:58 2014: 000237     4857     1682   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:45:09 2014: 000047        5     6608   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:45:44 2014: 000238     4929     1716   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:45:54 2014: 000195     3493     3163   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:45:55 2014: 000239     4950     1706   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
